date,value
27/08/18,3
20/10/17,5
17/12/15,7
10/01/16,1
07/03/19,11
07/03/18,5
09/12/16,6
10/01/19,9
07/03/17,6
09/12/15,12
09/12/18,1
10/01/18,3
07/03/16,9
09/12/17,2
10/01/17,5
24/01/19,7
02/03/16,8
24/01/18,10
02/03/17,3
02/03/18,5
02/03/19,6
29/07/18,1
04/05/17,10
29/07/17,4
04/05/16,10
04/05/19,5
24/01/17,7
29/07/16,5
04/05/18,6
24/01/16,1
29/07/15,3
21/10/15,8
21/10/16,3
21/10/17,7
21/10/18,1
05/04/17,8
05/04/16,5
05/04/19,10
05/04/18,5
18/10/18,5
11/01/18,6
27/08/13,1
11/01/19,10
18/10/17,6
18/10/16,8
11/01/16,3
11/01/17,5
23/01/18,4
23/01/17,4
23/01/16,2
23/01/14,1
08/03/19,21
12/12/17,6
12/12/18,4
08/03/18,7
18/09/16,4
12/12/16,5
18/09/15,1
18/09/18,2
18/09/17,10
08/03/17,4
23/01/19,4
08/03/16,4
06/04/18,4
06/04/17,3
06/04/19,1
21/02/17,3
21/02/19,6
06/04/16,6
21/02/18,5
25/09/16,1
25/09/15,5
19/11/17,5
19/11/18,5
19/11/15,7
19/11/16,1
18/12/17,2
18/12/18,2
18/12/15,4
18/12/16,2
03/03/17,6
03/03/18,4
03/03/16,10
14/02/19,5
09/02/19,1
14/02/18,4
09/02/18,3
09/02/17,11
09/02/16,6
08/01/16,6
08/01/18,2
14/02/17,3
08/01/19,5
16/11/18,4
14/02/16,3
16/11/17,4
16/11/16,6
03/03/19,3
16/11/15,4
06/02/16,1
22/12/13,1
06/02/17,4
06/02/18,4
22/12/15,9
06/02/19,1
22/12/16,4
22/12/17,3
22/12/18,4
25/09/18,6
25/09/17,7
01/04/16,6
01/04/17,8
01/04/18,2
01/04/19,2
13/02/18,9
13/02/17,3
13/02/16,3
28/08/15,5
28/08/17,4
13/02/19,3
28/08/18,5
24/11/17,3
24/11/18,1
24/11/15,7
24/11/16,3
20/12/17,3
20/12/16,5
20/12/15,2
12/02/16,4
12/02/17,2
12/02/18,3
12/02/19,7
20/12/18,7
25/10/16,5
25/10/15,1
25/10/18,5
25/10/17,7
10/03/19,2
23/11/15,4
23/11/17,8
23/11/16,4
15/01/15,1
10/03/16,13
10/03/17,7
10/03/18,8
15/01/19,5
15/01/18,1
15/01/17,2
15/01/16,3
21/06/17,16
21/06/16,8
19/01/19,5
04/03/18,2
04/03/19,8
19/01/18,9
19/01/17,7
19/01/16,2
22/11/18,5
17/03/16,7
22/11/17,9
17/03/17,4
17/03/18,3
16/10/17,2
23/04/17,4
22/11/16,5
04/03/16,7
17/03/19,3
16/10/18,7
04/03/17,5
23/04/16,4
23/04/19,2
16/10/15,5
23/04/18,4
25/02/16,7
06/01/16,4
29/09/15,5
25/02/17,2
06/01/17,9
29/09/16,7
06/01/18,2
29/09/17,11
06/01/19,2
29/09/18,4
25/02/18,1
31/03/17,7
16/09/15,1
25/02/19,7
16/09/16,7
31/03/16,3
16/09/17,2
31/03/18,4
11/09/17,7
11/09/18,4
11/09/15,5
18/07/15,1
18/07/16,6
18/07/17,6
18/07/18,12
24/08/18,2
24/08/17,5
14/12/18,4
14/12/17,3
26/06/17,10
26/06/18,8
08/11/17,7
14/12/16,5
08/11/18,7
14/12/15,2
08/11/15,3
08/11/16,2
26/06/16,3
30/11/18,6
11/10/17,7
28/04/17,10
30/09/16,9
28/04/18,4
11/10/16,11
30/09/15,4
28/04/19,2
12/03/16,1
11/10/15,2
30/09/17,2
12/03/18,6
12/03/17,1
30/11/15,4
30/11/16,6
12/03/19,6
30/11/17,2
10/05/16,7
10/05/15,1
28/04/15,1
11/10/18,9
28/04/16,9
20/02/19,5
20/02/16,2
20/02/18,12
20/02/17,3
01/01/16,2
01/01/18,3
31/03/15,1
31/03/14,1
07/06/16,5
07/06/17,13
07/06/18,5
15/05/16,2
15/05/17,10
15/05/18,4
15/05/19,8
03/11/15,3
29/10/18,1
29/10/15,7
29/10/16,2
15/05/15,1
03/11/18,2
03/11/17,3
03/11/16,6
28/06/16,7
28/06/18,3
28/06/17,12
05/06/16,4
05/06/17,5
05/06/18,7
05/06/19,10
07/04/18,2
07/04/17,6
07/04/16,5
07/04/15,1
07/04/14,1
02/06/16,3
02/06/18,6
02/06/17,15
25/12/15,2
02/06/19,4
13/05/15,1
25/12/17,2
13/05/16,3
13/05/17,9
13/05/18,2
13/05/19,3
10/05/18,12
15/03/17,6
10/05/17,4
15/03/16,14
10/05/19,8
15/03/19,5
15/03/18,6
21/04/16,5
21/04/17,12
21/04/18,7
04/01/19,3
04/01/18,8
04/01/17,11
04/01/16,5
21/04/15,1
23/02/15,5
23/02/16,7
23/02/17,6
23/02/18,2
24/08/16,7
23/02/19,2
24/08/15,1
14/09/17,11
14/09/18,6
31/01/18,9
31/01/19,5
31/01/17,7
09/04/18,4
09/04/19,4
16/09/14,1
27/12/18,1
09/04/14,1
27/12/17,2
27/12/16,2
09/04/16,5
09/04/17,1
20/04/16,6
06/11/17,3
06/11/18,4
03/01/18,6
06/11/15,10
03/01/17,4
06/11/16,1
03/01/19,3
14/10/17,1
14/10/18,1
14/10/15,7
14/10/16,6
12/05/17,10
12/05/18,5
12/05/15,1
30/07/16,5
12/05/16,10
30/07/17,5
30/07/18,4
10/07/17,8
10/07/18,5
28/02/19,8
10/07/16,3
28/02/18,2
28/02/17,9
13/10/15,6
20/04/19,2
20/04/17,4
20/04/18,3
22/08/15,2
22/08/16,2
22/08/17,7
22/08/18,8
13/10/16,11
02/08/15,1
13/10/17,4
02/08/16,3
13/10/18,1
07/08/15,8
07/08/17,10
09/06/17,11
07/08/16,2
09/06/16,6
07/08/18,9
09/06/18,7
13/09/18,5
14/09/15,5
14/09/16,5
29/12/16,2
15/07/18,1
29/12/15,2
29/12/14,2
05/11/18,4
05/11/17,3
15/07/15,4
05/11/16,1
29/12/18,2
15/07/17,4
05/11/15,13
29/12/17,4
15/07/16,2
01/08/18,4
21/08/18,13
08/08/18,7
19/03/18,5
19/03/19,4
08/08/17,3
08/08/16,4
21/08/17,6
21/08/15,6
19/03/16,4
19/03/17,4
23/06/18,4
23/06/16,4
23/06/17,11
04/11/16,6
04/11/15,12
04/11/18,3
04/11/17,1
13/09/16,6
13/09/17,13
13/09/15,1
16/07/16,1
16/07/15,3
16/07/14,1
16/07/18,3
31/05/18,10
31/05/19,9
16/07/17,2
02/08/17,6
11/07/16,5
02/08/18,11
11/07/17,4
27/02/17,2
27/02/16,3
27/02/19,7
27/02/18,4
24/06/16,7
24/06/17,2
24/06/18,2
03/08/15,3
08/06/15,1
08/06/16,2
19/05/17,12
19/05/16,5
19/05/19,6
19/05/18,4
03/08/16,6
03/08/17,5
03/08/18,5
14/07/18,1
14/07/17,4
08/06/17,11
14/07/16,4
08/06/18,7
14/07/15,1
16/05/19,8
11/07/18,2
16/05/18,5
16/05/17,9
16/05/16,3
01/11/17,3
31/05/16,2
31/05/17,13
01/11/16,8
22/06/18,12
01/11/15,2
22/06/17,12
01/11/14,1
27/04/16,6
27/04/17,6
29/02/16,2
27/04/15,1
20/06/18,7
24/04/19,6
20/06/17,13
27/04/18,5
24/04/18,6
20/06/16,5
27/04/19,2
24/04/17,5
20/06/15,1
24/04/16,4
20/06/13,1
01/11/18,6
30/05/19,7
12/07/16,8
12/07/18,8
12/07/17,3
30/05/16,5
30/05/17,6
17/05/17,10
30/05/18,5
17/05/16,5
17/05/19,9
17/05/18,8
10/09/18,4
10/09/17,1
10/09/16,3
10/09/15,1
25/04/17,8
05/08/18,2
25/04/16,2
25/04/19,8
25/04/18,9
05/08/15,6
05/08/17,2
25/04/15,1
25/04/14,1
22/06/16,5
18/05/16,4
13/07/17,2
13/07/16,3
13/07/18,2
18/05/19,2
18/05/18,4
18/05/17,13
26/04/19,5
06/08/16,2
06/08/15,2
26/04/13,1
26/04/18,5
21/06/18,9
26/04/17,8
06/08/18,3
26/04/16,3
06/08/17,1
